,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,AC,rain,snow,sun,distance_miles,consumed_per_100m,MPG,consumption_rate
208,18.1,3.6,36,20.0,19,SP98,,,0,0,0,0,11.246815100000001,0.9510192000000001,11.82606523611721,19.88950276243094
209,25.9,3.7,39,20.0,21,SP98,,,0,0,0,0,16.0935089,0.9774364000000001,16.46501900277092,14.285714285714288
210,1.3,11.5,21,20.0,10,SP98,,,0,0,0,0,0.8077823000000001,3.0379780000000003,0.26589471681493415,884.6153846153846
211,14.1,5.0,22,20.0,12,SP98,,,0,0,0,0,8.7613311,1.3208600000000001,6.633050512544856,35.46099290780142
212,13.4,5.5,31,20.0,9,SP98,,,0,0,0,0,8.326371400000001,1.452946,5.730681938626763,41.04477611940298
213,6.4,4.7,33,20.0,8,SP98,,,0,0,0,0,3.9767744,1.2416084,3.2029216297183556,73.4375
214,12.9,4.5,42,20.0,13,SP98,,,0,0,0,0,8.015685900000001,1.188774,6.742817305896664,34.883720930232556
215,12.1,4.4,33,22.5,5,SP98,,,0,0,0,0,7.5185891,1.1623568000000002,6.468400322517146,36.36363636363637
216,15.7,4.1,32,22.5,13,SP98,,,0,0,0,0,9.7555247,1.0831051999999999,9.006996457961796,26.11464968152866
217,16.2,4.4,26,22.5,11,SP98,,,0,0,0,0,10.0662102,1.1623568000000002,8.660172332626264,27.160493827160497
218,12.8,4.6,22,22.5,12,SP98,,,0,0,0,0,7.9535488,1.2151912,6.545100721598379,35.93749999999999
219,19.0,4.4,58,22.5,17,SP98,,,0,0,0,1,11.806049,1.1623568000000002,10.156992241969073,23.157894736842106
220,29.0,4.0,27,22.5,12,SP98,,,0,0,0,0,18.019759,1.056688,17.053055395727025,13.793103448275861
221,12.1,5.0,32,22.5,9,SP98,,,0,0,0,0,7.5185891,1.3208600000000001,5.692192283815089,41.32231404958678
